fid,DN,area
"1","135",79668867.5539322
"2","115",3624322.86362839
"3","85",3624322.86362457
"4","75",3624322.86362839
"5","85",3624322.86362457
"6","95",3624322.86362839
"7","85",3624322.86362457
"8","95",3624322.86362839
"9","125",217246549.581266
"10","95",3625751.58083534
"11","115",3625751.58083534
"12","75",10877254.1318474
"13","65",3625751.58083534
"14","95",7251503.00900269
"15","65",3625751.58083534
"16","55",3625751.58083725
"17","115",10879781.769804
"18","95",14505421.7324333
"19","65",10879012.078228
"20","75",3627179.80355263
"21","75",3627179.80355072
"22","95",10881538.8007927
"23","95",3627179.80355072
"24","95",3627179.80355072
"25","85",3627179.80355263
"26","65",3627179.80355072
"27","95",10881538.8007927
"28","115",90645410.6328468
"29","95",7255787.33514214
"30","85",10883296.4043674
"31","155",7257214.910923
"32","145",3628607.53158951
"33","95",3628607.53159142
"34","125",7257214.91091156
"35","115",3628607.53159142
"36","105",3628607.53158951
"37","105",7257214.91091156
"38","105",3628607.53159142
"39","115",43520441.6684628
"40","95",3628607.53159142
"41","105",3628607.53159142
"42","85",3628607.53159142
"43","85",3628607.53158951
"44","95",3628607.53159142
"45","85",3628607.53158951
"46","95",3628607.53159142
"47","105",3628607.53158951
"48","115",10888347.3386822
"49","105",7258642.29636765
"50","95",10887579.2460938
"51","55",21772742.2054138
"52","135",7260069.377491
"53","165",3630034.76477814
"54","125",3630034.76477814
"55","115",7260069.377491
"56","85",3630034.76477814
"57","105",3630034.76477814
"58","95",7260069.37749481
"59","105",3630034.76477814
"60","85",10890103.6860809
"61","55",3630034.76477814
"62","75",3630034.76477814
"63","65",7260069.377491
"64","75",7260069.37749481
"65","85",3630034.76477814
"66","85",3630034.76477814
"67","85",3630034.76477814
"68","55",3630034.76477814
"69","45",3630034.76477814
"70","115",10891860.60289
"71","135",3631461.50292969
"72","115",3631461.50292969
"73","135",7262922.85400009
"74","95",3631461.50292969
"75","75",3631461.50292969
"76","95",3631461.50292969
"77","105",3631461.50292969
"78","95",3631461.50292969
"79","105",3631461.50292969
"80","65",3631461.50292969
"81","75",7262922.85400009
"82","65",3631461.50292969
"83","75",3631461.50292969
"84","95",3631461.50292969
"85","65",3631461.50292969
"86","95",3631461.50292969
"87","95",3631461.50292969
"88","85",3631461.50292969
"89","75",3631461.50292969
"90","45",3631461.50292969
"91","55",3631461.50292969
"92","155",10894384.0135994
"93","145",10896140.4742203
"94","95",7264349.24881935
"95","75",14528698.1941147
"96","95",7264349.24882126
"97","85",7264349.24882126
"98","105",3632887.74589348
"99","185",3632887.74588966
"100","145",3632887.74589157
"101","145",3632887.74589157
"102","125",3632887.74589157
"103","115",7265775.34011459
"104","135",3632887.74589157
"105","85",10896906.9687195
"106","95",3632887.74588966
"107","75",3632887.74589157
"108","45",3632887.74589157
"109","95",3632887.74588966
"110","75",3632887.74588966
"111","55",7265775.34011459
"112","35",3632887.74588966
"113","65",3632887.74589157
"114","95",3632887.74589157
"115","55",3632887.74589157
"116","85",14530453.9676723
"117","105",43578078.9639072
"118","135",14531550.4881725
"119","85",7267201.23934746
"120","35",25436469.4975071
"121","145",3634313.49345207
"122","115",3634313.49345779
"123","75",25425932.9041367
"124","75",3634313.49345779
"125","105",3634313.49345589
"126","95",3634313.49345589
"127","105",3634313.49345779
"128","65",3634313.49345589
"129","65",3634313.49345589
"130","45",3634313.49345779
"131","75",3634313.49345589
"132","55",3634313.49345589
"133","85",3634313.49345589
"134","65",3634313.49345779
"135","75",32700595.1918449
"136","95",18172661.8950539
"137","55",29066066.8404598
"138","55",10905460.6557064
"139","65",7270052.23893356
"140","125",3635738.74547768
"141","125",3635738.74547768
"142","115",3635738.74547768
"143","175",43603744.8387604
"144","105",3635738.74547577
"145","125",10905460.6557064
"146","105",3635738.74547577
"147","85",3635738.74547768
"148","65",3635738.74547577
"149","65",3635738.74547577
"150","85",3635738.74547768
"151","75",3635738.74547577
"152","85",3635738.74547577
"153","65",3635738.74547768
"154","85",3635738.74547768
"155","65",3635738.74547577
"156","75",3635738.74547768
"157","75",3635738.74547577
"158","85",3635738.74547768
"159","85",3635738.74547768
"160","75",3635738.74547768
"161","75",10907215.631424
"162","85",3635738.74547577
"163","135",32721436.8165913
"164","75",10909735.269249
"165","115",3637163.5017662
"166","175",3637163.50176811
"167","95",3637163.5017662
"168","75",3637163.5017662
"169","95",3637163.5017662
"170","85",3637163.5017662
"171","65",3637163.5017662
"172","65",3637163.5017662
"173","75",7274326.85247421
"174","65",3637163.5017662
"175","55",3637163.5017662
"176","65",3637163.5017662
"177","75",3637163.5017662
"178","85",3637163.5017662
"179","85",79966183.5504837
"180","95",29102261.6938648
"181","105",14551502.225914
"182","55",10914008.3954449
"183","75",18190214.5766048
"184","145",32721642.9957085
"185","135",3638587.76214218
"186","85",3638587.76214218
"187","105",3638587.76214218
"188","55",7277175.37343979
"189","65",3638587.76214218
"190","65",3638587.76214218
"191","95",25461440.9711552
"192","85",7277175.37343979
"193","35",3638587.76214218
"194","95",3638587.76214218
"195","115",76407962.9828033
"196","75",69077265.6859417
"197","115",3640011.52644157
"198","105",3640011.52644348
"199","95",3640011.52644157
"200","85",3640011.52644348
"201","85",3640011.52644348
"202","75",3640011.52644157
"203","55",3640011.52644348
"204","75",7280022.90222931
"205","95",3640011.52644157
"206","75",3640011.52644157
"207","75",3640011.52644157
"208","165",112752174.20857
"209","55",50945030.187994
"210","55",7281446.32092667
"211","85",18203564.9777908
"212","85",7281446.32092667
"213","115",3641434.79448318
"214","65",3641434.79448318
"215","55",3641434.79448318
"216","65",3641434.79448318
"217","65",3641434.79448318
"218","65",3641434.79448318
"219","75",3641434.79448509
"220","85",7282869.43852234
"221","75",3641434.79448318
"222","95",10924303.8870182
"223","55",29131807.9936085
"224","95",3642857.56608582
"225","145",25490041.9667301
"226","85",3642857.56608963
"227","55",3642857.56609154
"228","65",3642857.56609154
"229","55",10928572.0973053
"230","55",3642857.56608963
"231","85",3642857.56609154
"232","65",3642857.56609154
"233","65",3642857.56609154
"234","95",3642857.56609154
"235","85",3642857.56608963
"236","75",3642857.56609154
"237","65",3642857.56609154
"238","155",138265714.478001
"239","45",32781545.6374054
"240","45",10930325.9049702
"241","105",577787075.59095
"242","115",18217560.6592083
"243","75",3644279.84108925
"244","65",3644279.84108925
"245","75",3644279.84108734
"246","65",3644279.84108925
"247","55",3644279.84108734
"248","55",3644279.84108925
"249","95",3644279.84108925
"250","95",3644279.84108925
"251","95",3644279.84108925
"252","45",7288559.53214645
"253","145",50986858.1801586
"254","65",14577118.8675766
"255","65",14578209.2639828
