fid,DN,area
"1","55",3618603.05328369
"2","55",3621463.94639587
"3","55",3622893.65208244
"4","55",3622893.65208435
"5","55",7247216.51570511
"6","65",3627179.80355072
"7","55",3628607.5315876
"8","65",3628607.5315876
"9","55",3630034.76478195
"10","55",3630034.76478195
"11","65",3630034.76478195
"12","55",7261496.26771164
"13","55",3631461.50293159
"14","45",3631461.50292969
"15","65",7264349.24881744
"16","65",3632887.74588776
"17","65",3632887.74588776
"18","65",3632887.74588585
"19","55",3634313.49345589
"20","55",3634313.4934597
"21","55",3634313.49346161
"22","55",3635738.74547768
"23","55",3635738.74547768
"24","55",3635738.74547577
"25","65",3635738.74547577
"26","55",3635738.74547577
"27","55",3635738.74547768
"28","55",7272902.24724197
"29","65",3637163.5017643
"30","55",3637163.5017643
"31","55",3637163.5017643
"32","65",7274326.85247803
"33","65",3637163.5017643
"34","55",3637163.5017643
"35","55",3637163.5017643
"36","65",3638587.76214218
"37","55",3638587.76214409
"38","45",7277175.37343979
"39","55",3638587.76214409
"40","55",7278599.28858376
"41","65",3640011.52644157
"42","55",3640011.52644348
"43","55",3640011.52644348
"44","65",3640011.52644348
"45","55",3640011.52644348
"46","55",10920033.9767265
"47","55",10922550.1837082
"48","55",7281446.32092476
"49","65",3641434.79448128
"50","55",3641434.79448128
"51","65",3641434.79448318
"52","55",3641434.79448128
"53","55",7285714.98194122
"54","55",3642857.56609344
"55","65",3644279.84109306
"56","55",3644279.84108734
"57","55",3644279.84108925
"58","55",3644279.84108734
"59","55",3644279.84108925
"60","55",3645701.61930466
"61","55",3645701.61930466
"62","65",3645701.61930466
"63","55",3645701.61930466
"64","55",10938857.3711548
"65","55",3647122.9005661
"66","55",3647122.90056992
"67","55",3647122.9005661
"68","45",3647122.9005661
"69","55",3648543.68470001
"70","65",3648543.6846962
"71","55",3648543.6846962
"72","55",3648543.68470001
"73","55",3648543.68470001
"74","65",3649963.97151184
"75","45",3649963.97150993
"76","55",3649963.97151184
"77","55",3649963.97151184
"78","55",3649963.97151184
"79","55",3651383.76085281
"80","55",7302767.37269211
"81","65",3651383.76085091
"82","55",3652803.05253029
"83","55",3652803.0525322
"84","55",3652803.0525322
"85","65",3654221.84637642
"86","65",3654221.84637642
"87","45",3654221.84637642
"88","55",3654221.84637642
"89","55",3654221.84637833
"90","55",3654221.84637833
"91","55",7311280.13603973
"92","45",3655640.14222336
"93","65",3655640.14222336
"94","65",3657057.93988609
"95","45",3657057.93988609
"96","55",3657057.93988419
"97","65",3657057.93988419
"98","55",3657057.93988419
"99","65",3657057.93988419
"100","65",3657057.93988419
"101","45",3658475.23918915
"102","55",3658475.23919487
"103","55",3658475.23919296
"104","35",3659892.03997421
"105","55",7319783.93216705
"106","55",3659892.03997231
"107","55",3659892.03996849
"108","55",3661308.34204674
"109","55",3661308.34204483
"110","65",3661308.34204483
"111","65",3661308.34204483
"112","65",3661308.34204483
"113","55",3661308.34204483
"114","65",3662724.1452446
"115","35",3664139.44939423
"116","65",3664139.44939613
"117","55",3664139.44939613
"118","55",3664139.44939423
"119","55",3665554.25431633
"120","55",3665554.25431633
"121","55",3665554.25431633
"122","55",3665554.25431633
"123","65",3665554.25431824
"124","55",3665554.25431824
"125","55",3666968.55983543
"126","55",3666968.55983925
"127","55",7333936.97293091
"128","55",3666968.55983543
"129","65",3668382.3657856
"130","55",3668382.3657856
"131","65",11003399.5402164
"132","65",3668382.36578941
"133","45",7338178.03778839
"134","45",3669795.67199898
"135","55",3669795.67199898
"136","55",3669795.67199898
"137","65",3669795.67199898
"138","75",3671208.47827911
"139","65",3671208.4782753
"140","65",3672620.78447533
"141","45",3672620.78447342
"142","55",3672620.78447533
"143","55",3672620.78447533
"144","55",3672620.78447342
"145","45",3672620.78447533
"146","55",11017861.8531513
"147","35",3674032.59039688
"148","55",3674032.59039688
"149","55",3674032.59039688
"150","65",3674032.59039879
"151","75",3675443.89587975
"152","65",3675443.89587784
"153","55",3676854.70075417
"154","55",3676854.70075417
"155","45",3676854.70075417
"156","55",3676854.70075417
"157","65",3678265.00483322
"158","55",3678265.00483322
"159","75",3679674.80796623
"160","65",3679674.80796623
"161","65",3679674.80796814
"162","55",3679674.80796623
"163","55",3681084.10995865
"164","65",3681084.10995483
"165","65",3681084.10995865
"166","55",3681084.10995865
"167","55",7364985.67684174
"168","45",3683901.20985413
"169","55",3683901.20985413
"170","55",3683901.20985413
"171","75",3683901.20985413
"172","65",3685309.00741196
"173","75",3685309.00741386
"174","55",3686716.30314827
"175","55",3686716.30315018
"176","55",3688123.09688568
"177","55",3688123.09688568
"178","65",3688123.09688568
"179","55",3688123.09688377
"180","55",3688123.09688377
"181","65",3689529.38846397
"182","55",3689529.38846588
"183","35",3689529.38846588
"184","45",3690935.17768669
"185","65",3690935.17768669
"186","65",3690935.17768288
"187","65",3690935.17768288
"188","65",3690935.17768669
"189","65",3690935.17768288
"190","65",3690935.17768288
"191","75",3692340.46440887
"192","55",3692340.46440315
"193","65",3692340.46440887
"194","65",3693745.24843407
"195","65",3693745.24843407
"196","55",3695149.52960968
"197","65",3695149.52960968
"198","45",3695149.52960777
"199","65",3696553.3077507
"200","65",3696553.3077507
"201","65",3697956.58268929
"202","55",3697956.58268929
"203","65",3699359.35426331
"204","65",3700761.62228775
"205","55",3700761.62228394
"206","75",3700761.62228394
"207","65",3702163.38658524
"208","65",7404326.63169479
"209","65",3703564.6470089
"210","55",3703564.6470089
"211","75",3703564.64700699
"212","75",3703564.64700699
"213","75",3703564.64700699
"214","65",7409930.66566467
"215","75",3704965.40335655
"216","65",3704965.40335464
"217","75",3706365.65548325
"218","55",3706365.65548897
"219","65",3707765.40320587
"220","65",3710563.38475037
"221","65",3713359.34662628
"222","65",7426718.5534935
"223","65",3713359.34662819
"224","65",3714756.569767
"225","55",3714756.569767
"226","55",3714756.569767
"227","65",3716153.28746986
"228","55",3716153.28746986
"229","75",3716153.28746986
"230","65",3717549.49957657
"231","65",3717549.49957657
"232","65",3717549.49958038
"233","65",3717549.49958038
"234","65",3720340.40630913
"235","65",3721735.10057831
"236","65",3721735.10058212
"237","65",3721735.10057831
"238","45",3721735.10057831
"239","75",3723129.28857803
"240","65",3723129.28857803
"241","65",3723129.28857803
"242","65",3723129.28857613
"243","75",3724522.97012329
"244","65",3724522.97012329
"245","75",7451832.15226364
"246","65",3725916.14503479
